"Question","Description","Option","Correct answer","Scoring logic","Skill"
"Social Emotional Learning belongs in everyday teaching.","Integrated into everyday classroom experiences, including academic lessons, classroom routines, student interactions, and behavior support, rather than being taught as a separate subject or one-time activity.","3 — [object Object]","","3 · Positively coded (1–5)","Mindsets"
"Social Emotional Learning belongs in everyday teaching.","Integrated into everyday classroom experiences, including academic lessons, classroom routines, student interactions, and behavior support, rather than being taught as a separate subject or one-time activity.","4 — [object Object]","","4 · Positively coded (1–5)","Mindsets"
"Social Emotional Learning belongs in everyday teaching.","Integrated into everyday classroom experiences, including academic lessons, classroom routines, student interactions, and behavior support, rather than being taught as a separate subject or one-time activity.","5","","5 · Positively coded (1–5)","Mindsets"
"I can include Social Emotional Learning during my regular academic lessons.","Including SEL skills such as emotional awareness, empathy, communication, reflection, or problem-solving within regular academic teaching and classroom activities, rather than teaching them separately.","1 — [object Object]","","1","Mindsets"
"I can include Social Emotional Learning during my regular academic lessons.","Including SEL skills such as emotional awareness, empathy, communication, reflection, or problem-solving within regular academic teaching and classroom activities, rather than teaching them separately.","2 — [object Object]","","2","Mindsets"
"I can include Social Emotional Learning during my regular academic lessons.","Including SEL skills such as emotional awareness, empathy, communication, reflection, or problem-solving within regular academic teaching and classroom activities, rather than teaching them separately.","3 — [object Object]","","3","Mindsets"
"I can include Social Emotional Learning during my regular academic lessons.","Including SEL skills such as emotional awareness, empathy, communication, reflection, or problem-solving within regular academic teaching and classroom activities, rather than teaching them separately.","4 — [object Object]","","4","Mindsets"
"I can include Social Emotional Learning during my regular academic lessons.","Including SEL skills such as emotional awareness, empathy, communication, reflection, or problem-solving within regular academic teaching and classroom activities, rather than teaching them separately.","5","","5","Mindsets"
"Can you describe a recent lesson where you included SEL during an academic activity? What did you do, and how did students respond?","","","","","Mindsets"
"Can you describe a recent lesson where you included SEL during an academic activity? What did you do, and how did students respond?","","","","","Mindsets"
"How would you rate your current skills, proficiency, and implementation practices related to Social-Emotional Learning (SEL)?","","1 — [object Object]","","1 · Reverse coded (1–5)","Mindsets"
"How would you rate your current skills, proficiency, and implementation practices related to Social-Emotional Learning (SEL)?","","2 — [object Object]","","2 · Reverse coded (1–5)","Mindsets"
"How would you rate your current skills, proficiency, and implementation practices related to Social-Emotional Learning (SEL)?","","3 — [object Object]","","3 · Reverse coded (1–5)","Mindsets"
"How would you rate your current skills, proficiency, and implementation practices related to Social-Emotional Learning (SEL)?","","4 — [object Object]","","4 · Reverse coded (1–5)","Mindsets"
"How would you rate your current skills, proficiency, and implementation practices related to Social-Emotional Learning (SEL)?","","5","","5 · Reverse coded (1–5)","Mindsets"
"When a student misbehaves, I look for the reason before I respond.","Trying to understand the possible emotions, needs, challenges, or situations behind a student’s behavior before reacting or giving consequences.","1 — [object Object]","","1 · Positively coded (1–5)","Mindsets"
"When a student misbehaves, I look for the reason before I respond.","Trying to understand the possible emotions, needs, challenges, or situations behind a student’s behavior before reacting or giving consequences.","2 — [object Object]","","2 · Positively coded (1–5)","Mindsets"
"When a student misbehaves, I look for the reason before I respond.","Trying to understand the possible emotions, needs, challenges, or situations behind a student’s behavior before reacting or giving consequences.","3 — [object Object]","","3 · Positively coded (1–5)","Mindsets"
"When a student misbehaves, I look for the reason before I respond.","Trying to understand the possible emotions, needs, challenges, or situations behind a student’s behavior before reacting or giving consequences.","4 — [object Object]","","4 · Positively coded (1–5)","Mindsets"
"When a student misbehaves, I look for the reason before I respond.","Trying to understand the possible emotions, needs, challenges, or situations behind a student’s behavior before reacting or giving consequences.","5","","5 · Positively coded (1–5)","Mindsets"
"Students' social and emotional skills can improve through teaching.","Believing that students can develop skills such as emotional regulation, empathy, communication, self-awareness, and problem-solving through guidance, practice, and supportive teaching experiences.","1 — [object Object]","","1","Mindsets"
"Students' social and emotional skills can improve through teaching.","Believing that students can develop skills such as emotional regulation, empathy, communication, self-awareness, and problem-solving through guidance, practice, and supportive teaching experiences.","2 — [object Object]","","2","Mindsets"
"Students' social and emotional skills can improve through teaching.","Believing that students can develop skills such as emotional regulation, empathy, communication, self-awareness, and problem-solving through guidance, practice, and supportive teaching experiences.","3 — [object Object]","","3","Mindsets"
"Students' social and emotional skills can improve through teaching.","Believing that students can develop skills such as emotional regulation, empathy, communication, self-awareness, and problem-solving through guidance, practice, and supportive teaching experiences.","4 — [object Object]","","4","Mindsets"
"Students' social and emotional skills can improve through teaching.","Believing that students can develop skills such as emotional regulation, empathy, communication, self-awareness, and problem-solving through guidance, practice, and supportive teaching experiences.","5","","5","Mindsets"
"Covering the syllabus matters more than students' emotional needs.","","1 — [object Object]","","1 · Reverse coded (1–5)","Mindsets"
"Covering the syllabus matters more than students' emotional needs.","","2 — [object Object]","","2 · Reverse coded (1–5)","Mindsets"
"Covering the syllabus matters more than students' emotional needs.","","3 — [object Object]","","3 · Reverse coded (1–5)","Mindsets"
"Covering the syllabus matters more than students' emotional needs.","","4 — [object Object]","","4 · Reverse coded (1–5)","Mindsets"
"Covering the syllabus matters more than students' emotional needs.","","5","","5 · Reverse coded (1–5)","Mindsets"
"In the last two weeks, I calmed myself when I felt a strong emotion at work.","Managing your own emotions during stressful, frustrating, or emotionally intense moments at work in a way that helped you respond calmly and effectively.","1 — [object Object]","","1 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I calmed myself when I felt a strong emotion at work.","Managing your own emotions during stressful, frustrating, or emotionally intense moments at work in a way that helped you respond calmly and effectively.","2 — [object Object]","","2 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I calmed myself when I felt a strong emotion at work.","Managing your own emotions during stressful, frustrating, or emotionally intense moments at work in a way that helped you respond calmly and effectively.","3 — [object Object]","","3 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I calmed myself when I felt a strong emotion at work.","Managing your own emotions during stressful, frustrating, or emotionally intense moments at work in a way that helped you respond calmly and effectively.","4 — [object Object]","","4 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I calmed myself when I felt a strong emotion at work.","Managing your own emotions during stressful, frustrating, or emotionally intense moments at work in a way that helped you respond calmly and effectively.","5","","5 · Positively coded (1–5)","SEL Competencies"
"Can you describe a recent situation at work where you experienced a strong emotion? What did you do to calm or manage yourself in that moment?","","","","","SEL Competencies"
"Can you describe a recent situation at work where you experienced a strong emotion? What did you do to calm or manage yourself in that moment?","","","","","SEL Competencies"
"In the last two weeks, I noticed my mood affecting how I treated students.","Recognizing when your emotions, stress, energy, or mood influenced the way you interacted with, responded to, or communicated with students.","1 — [object Object]","","1 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I noticed my mood affecting how I treated students.","Recognizing when your emotions, stress, energy, or mood influenced the way you interacted with, responded to, or communicated with students.","2 — [object Object]","","2 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I noticed my mood affecting how I treated students.","Recognizing when your emotions, stress, energy, or mood influenced the way you interacted with, responded to, or communicated with students.","3 — [object Object]","","3 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I noticed my mood affecting how I treated students.","Recognizing when your emotions, stress, energy, or mood influenced the way you interacted with, responded to, or communicated with students.","4 — [object Object]","","4 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I noticed my mood affecting how I treated students.","Recognizing when your emotions, stress, energy, or mood influenced the way you interacted with, responded to, or communicated with students.","5","","5 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I admitted a mistake to my students.","Openly acknowledging to students when you made an error, misunderstood something, or could have handled a situation differently.","1 — [object Object]","","1",""
"In the last two weeks, I admitted a mistake to my students.","Openly acknowledging to students when you made an error, misunderstood something, or could have handled a situation differently.","2 — [object Object]","","2",""
"In the last two weeks, I admitted a mistake to my students.","Openly acknowledging to students when you made an error, misunderstood something, or could have handled a situation differently.","3 — [object Object]","","3",""
"In the last two weeks, I admitted a mistake to my students.","Openly acknowledging to students when you made an error, misunderstood something, or could have handled a situation differently.","4 — [object Object]","","4",""
"In the last two weeks, I admitted a mistake to my students.","Openly acknowledging to students when you made an error, misunderstood something, or could have handled a situation differently.","5","","5",""
"Can you share a recent example of a mistake you admitted to students? What happened, and how did students respond?","","","","","SEL Competencies"
"Can you share a recent example of a mistake you admitted to students? What happened, and how did students respond?","","","","",""
"In the last two weeks, I reflected on whether my assumptions affect how I see certain students.","Thinking about whether your personal assumptions, expectations, or biases may influence how you interpret, respond to, or interact with certain students.","1 — [object Object]","","1 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I reflected on whether my assumptions affect how I see certain students.","Thinking about whether your personal assumptions, expectations, or biases may influence how you interpret, respond to, or interact with certain students.","2 — [object Object]","","2 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I reflected on whether my assumptions affect how I see certain students.","Thinking about whether your personal assumptions, expectations, or biases may influence how you interpret, respond to, or interact with certain students.","3 — [object Object]","","3 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I reflected on whether my assumptions affect how I see certain students.","Thinking about whether your personal assumptions, expectations, or biases may influence how you interpret, respond to, or interact with certain students.","4 — [object Object]","","4 · Positively coded (1–5)","SEL Competencies"
"In the last two weeks, I reflected on whether my assumptions affect how I see certain students.","Thinking about whether your personal assumptions, expectations, or biases may influence how you interpret, respond to, or interact with certain students.","5","","5 · Positively coded (1–5)","SEL Competencies"
"I have a reliable way to recover after a hard day.","Having healthy strategies, routines, or sources of support that help you emotionally recover, reset, or manage stress after a difficult day at work.","1 — [object Object]","","1 · Positively coded (1–5)","SEL Competencies, Wellbeing"
"I have a reliable way to recover after a hard day.","Having healthy strategies, routines, or sources of support that help you emotionally recover, reset, or manage stress after a difficult day at work.","2 — [object Object]","","2 · Positively coded (1–5)","SEL Competencies, Wellbeing"
"I have a reliable way to recover after a hard day.","Having healthy strategies, routines, or sources of support that help you emotionally recover, reset, or manage stress after a difficult day at work.","3 — [object Object]","","3 · Positively coded (1–5)","SEL Competencies, Wellbeing"
"I have a reliable way to recover after a hard day.","Having healthy strategies, routines, or sources of support that help you emotionally recover, reset, or manage stress after a difficult day at work.","4 — [object Object]","","4 · Positively coded (1–5)","SEL Competencies, Wellbeing"
"I have a reliable way to recover after a hard day.","Having healthy strategies, routines, or sources of support that help you emotionally recover, reset, or manage stress after a difficult day at work.","5","","5 · Positively coded (1–5)","SEL Competencies, Wellbeing"
"Can you describe something you usually do to recover after a difficult day? Please share a recent example of when this helped you.","","","","",""
"Can you describe something you usually do to recover after a difficult day? Please share a recent example of when this helped you.","","","","",""
"In the last 3-4 weeks, I checked in on how students were feeling.","Taking time to ask, observe, or create opportunities for students to express how they were feeling emotionally, socially, or mentally during the school day.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I checked in on how students were feeling.","Taking time to ask, observe, or create opportunities for students to express how they were feeling emotionally, socially, or mentally during the school day.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I checked in on how students were feeling.","Taking time to ask, observe, or create opportunities for students to express how they were feeling emotionally, socially, or mentally during the school day.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I checked in on how students were feeling.","Taking time to ask, observe, or create opportunities for students to express how they were feeling emotionally, socially, or mentally during the school day.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I checked in on how students were feeling.","Taking time to ask, observe, or create opportunities for students to express how they were feeling emotionally, socially, or mentally during the school day.","5","","5 · Positively coded (1–5)","Practices"
"Can you describe a recent check-in you had with students about how they were feeling? What did you ask or notice, and how did students respond?","","","","","Practices"
"Can you describe a recent check-in you had with students about how they were feeling? What did you ask or notice, and how did students respond?","","","","","Practices"
"In the last 3-4 weeks, I ran an activity to help students name their emotions.","Using a discussion, routine, game, reflection, or classroom activity to help students identify, label, and talk about different emotions they may experience.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I ran an activity to help students name their emotions.","Using a discussion, routine, game, reflection, or classroom activity to help students identify, label, and talk about different emotions they may experience.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I ran an activity to help students name their emotions.","Using a discussion, routine, game, reflection, or classroom activity to help students identify, label, and talk about different emotions they may experience.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I ran an activity to help students name their emotions.","Using a discussion, routine, game, reflection, or classroom activity to help students identify, label, and talk about different emotions they may experience.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I ran an activity to help students name their emotions.","Using a discussion, routine, game, reflection, or classroom activity to help students identify, label, and talk about different emotions they may experience.","5","","5 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I taught students a way to manage a difficult emotion.","Teaching students a strategy or tool such as breathing, pausing, reflection, movement, or talking to someone to help them handle difficult emotions in a healthy and constructive way.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I taught students a way to manage a difficult emotion.","Teaching students a strategy or tool such as breathing, pausing, reflection, movement, or talking to someone to help them handle difficult emotions in a healthy and constructive way.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I taught students a way to manage a difficult emotion.","Teaching students a strategy or tool such as breathing, pausing, reflection, movement, or talking to someone to help them handle difficult emotions in a healthy and constructive way.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I taught students a way to manage a difficult emotion.","Teaching students a strategy or tool such as breathing, pausing, reflection, movement, or talking to someone to help them handle difficult emotions in a healthy and constructive way.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I taught students a way to manage a difficult emotion.","Teaching students a strategy or tool such as breathing, pausing, reflection, movement, or talking to someone to help them handle difficult emotions in a healthy and constructive way.","5","","5 · Positively coded (1–5)","Practices"
"Can you share a recent example of a strategy you taught students to manage a difficult emotion? How did you introduce it, and how did students use or respond to it?","","","","","Practices"
"Can you share a recent example of a strategy you taught students to manage a difficult emotion? How did you introduce it, and how did students use or respond to it?","","","","","Practices"
"In the last 3-4 weeks, I let students help make a classroom decision.","Giving students meaningful opportunities to share their ideas, make choices, or participate in decisions related to classroom activities, routines, expectations, or learning.","1 — [object Object]","","1","Practices"
"In the last 3-4 weeks, I let students help make a classroom decision.","Giving students meaningful opportunities to share their ideas, make choices, or participate in decisions related to classroom activities, routines, expectations, or learning.","2 — [object Object]","","2","Practices"
"In the last 3-4 weeks, I let students help make a classroom decision.","Giving students meaningful opportunities to share their ideas, make choices, or participate in decisions related to classroom activities, routines, expectations, or learning.","3 — [object Object]","","3","Practices"
"In the last 3-4 weeks, I let students help make a classroom decision.","Giving students meaningful opportunities to share their ideas, make choices, or participate in decisions related to classroom activities, routines, expectations, or learning.","4 — [object Object]","","4","Practices"
"In the last 3-4 weeks, I let students help make a classroom decision.","Giving students meaningful opportunities to share their ideas, make choices, or participate in decisions related to classroom activities, routines, expectations, or learning.","5","","5","Practices"
"In the last 3-4 weeks, I let students try to resolve a conflict themselves before I stepped in.","Giving students space and support to communicate, problem-solve, or work through disagreements on their own before intervening directly.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I let students try to resolve a conflict themselves before I stepped in.","Giving students space and support to communicate, problem-solve, or work through disagreements on their own before intervening directly.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I let students try to resolve a conflict themselves before I stepped in.","Giving students space and support to communicate, problem-solve, or work through disagreements on their own before intervening directly.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I let students try to resolve a conflict themselves before I stepped in.","Giving students space and support to communicate, problem-solve, or work through disagreements on their own before intervening directly.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I let students try to resolve a conflict themselves before I stepped in.","Giving students space and support to communicate, problem-solve, or work through disagreements on their own before intervening directly.","5","","5 · Positively coded (1–5)","Practices"
"Can you share a recent example of a conflict where you gave students space to resolve it themselves? What happened before you decided to step in (or not step in)?","","","","","Practices"
"Can you share a recent example of a conflict where you gave students space to resolve it themselves? What happened before you decided to step in (or not step in)?","","","","","Practices"
"In the last 3-4 weeks, I looked into the causes behind a student's difficult behavior.","Trying to understand the emotions, needs, experiences, or situations that may have contributed to a student’s challenging behavior before responding or giving consequences.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I looked into the causes behind a student's difficult behavior.","Trying to understand the emotions, needs, experiences, or situations that may have contributed to a student’s challenging behavior before responding or giving consequences.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I looked into the causes behind a student's difficult behavior.","Trying to understand the emotions, needs, experiences, or situations that may have contributed to a student’s challenging behavior before responding or giving consequences.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I looked into the causes behind a student's difficult behavior.","Trying to understand the emotions, needs, experiences, or situations that may have contributed to a student’s challenging behavior before responding or giving consequences.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I looked into the causes behind a student's difficult behavior.","Trying to understand the emotions, needs, experiences, or situations that may have contributed to a student’s challenging behavior before responding or giving consequences.","5","","5 · Positively coded (1–5)","Practices"
"Can you describe a recent situation where you tried to understand the reason behind a student’s behavior? What did you notice or do?","","","","","Practices"
"Can you describe a recent situation where you tried to understand the reason behind a student’s behavior? What did you notice or do?","","","","","Practices"
"In the last 3-4 weeks, I talked about body safety with my class.","Having age-appropriate conversations or activities about personal boundaries, safe and unsafe touch, consent, or ways students can seek help if they feel unsafe.","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I talked about body safety with my class.","Having age-appropriate conversations or activities about personal boundaries, safe and unsafe touch, consent, or ways students can seek help if they feel unsafe.","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I talked about body safety with my class.","Having age-appropriate conversations or activities about personal boundaries, safe and unsafe touch, consent, or ways students can seek help if they feel unsafe.","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I talked about body safety with my class.","Having age-appropriate conversations or activities about personal boundaries, safe and unsafe touch, consent, or ways students can seek help if they feel unsafe.","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last 3-4 weeks, I talked about body safety with my class.","Having age-appropriate conversations or activities about personal boundaries, safe and unsafe touch, consent, or ways students can seek help if they feel unsafe.","5","","5 · Positively coded (1–5)","Practices"
"Can you describe a recent example of how you talked about body safety with your class and what prompted it?","","","","","Practices"
"Can you describe a recent example of how you talked about body safety with your class and what prompted it?","","","","","Practices"
"In a typical week, how many SEL activities (activities that help kids build their emotional and social skills) do you run?","SEL activities may include emotion check-ins, reflection exercises, conflict resolution discussions, mindfulness or calming activities, collaborative games, empathy-building conversations, or lessons focused on communication and relationships.","0","","0","Practices"
"In a typical week, how many SEL activities (activities that help kids build their emotional and social skills) do you run?","SEL activities may include emotion check-ins, reflection exercises, conflict resolution discussions, mindfulness or calming activities, collaborative games, empathy-building conversations, or lessons focused on communication and relationships.","1-2","","1","Practices"
"In a typical week, how many SEL activities (activities that help kids build their emotional and social skills) do you run?","SEL activities may include emotion check-ins, reflection exercises, conflict resolution discussions, mindfulness or calming activities, collaborative games, empathy-building conversations, or lessons focused on communication and relationships.","3-4","","2","Practices"
"In a typical week, how many SEL activities (activities that help kids build their emotional and social skills) do you run?","SEL activities may include emotion check-ins, reflection exercises, conflict resolution discussions, mindfulness or calming activities, collaborative games, empathy-building conversations, or lessons focused on communication and relationships.","5+","","3","Practices"
"In the last two weeks, I made time to reflect on my own teaching practice (students, any experiences I had, my practices) . ","This could be journaling, speaking to a colleague or coach or another practices? ","1 — [object Object]","","1 · Positively coded (1–5)","Practices"
"In the last two weeks, I made time to reflect on my own teaching practice (students, any experiences I had, my practices) . ","This could be journaling, speaking to a colleague or coach or another practices? ","2 — [object Object]","","2 · Positively coded (1–5)","Practices"
"In the last two weeks, I made time to reflect on my own teaching practice (students, any experiences I had, my practices) . ","This could be journaling, speaking to a colleague or coach or another practices? ","3 — [object Object]","","3 · Positively coded (1–5)","Practices"
"In the last two weeks, I made time to reflect on my own teaching practice (students, any experiences I had, my practices) . ","This could be journaling, speaking to a colleague or coach or another practices? ","4 — [object Object]","","4 · Positively coded (1–5)","Practices"
"In the last two weeks, I made time to reflect on my own teaching practice (students, any experiences I had, my practices) . ","This could be journaling, speaking to a colleague or coach or another practices? ","5","","5 · Positively coded (1–5)","Practices"
"Can you give us an example of how you reflected (what did you do) and what was an insight/aspect that stood out to you during this practice (or some other question that helps us check if they actually did it)","","","","","Practices"
"Can you give us an example of how you reflected (what did you do) and what was an insight/aspect that stood out to you during this practice (or some other question that helps us check if they actually did it)","","","","","Practices"
"Students in my classroom feel safe.","Feeling physically, emotionally, and socially safe in the classroom, including being able to participate, make mistakes, express themselves, and ask for help without fear of harm, ridicule, or exclusion.","1 — [object Object]","","1 · Positively coded (1–5)","Climate"
"Students in my classroom feel safe.","Feeling physically, emotionally, and socially safe in the classroom, including being able to participate, make mistakes, express themselves, and ask for help without fear of harm, ridicule, or exclusion.","2 — [object Object]","","2 · Positively coded (1–5)","Climate"
"Students in my classroom feel safe.","Feeling physically, emotionally, and socially safe in the classroom, including being able to participate, make mistakes, express themselves, and ask for help without fear of harm, ridicule, or exclusion.","3 — [object Object]","","3 · Positively coded (1–5)","Climate"
"Students in my classroom feel safe.","Feeling physically, emotionally, and socially safe in the classroom, including being able to participate, make mistakes, express themselves, and ask for help without fear of harm, ridicule, or exclusion.","4 — [object Object]","","4 · Positively coded (1–5)","Climate"
"Students in my classroom feel safe.","Feeling physically, emotionally, and socially safe in the classroom, including being able to participate, make mistakes, express themselves, and ask for help without fear of harm, ridicule, or exclusion.","5","","5 · Positively coded (1–5)","Climate"
"Can you give an example of something you do that helps create a safe classroom environment?","","","","","Climate"
"Can you give an example of something you do that helps create a safe classroom environment?","","","","","Climate"
"I can make my classroom inclusive of students from different backgrounds.","Creating a classroom environment where students from different cultures, identities, abilities, languages, experiences, and backgrounds feel respected, included, and able to participate fully.","1 — [object Object]","","1 · Positively coded (1–5)","Climate"
"I can make my classroom inclusive of students from different backgrounds.","Creating a classroom environment where students from different cultures, identities, abilities, languages, experiences, and backgrounds feel respected, included, and able to participate fully.","2 — [object Object]","","2 · Positively coded (1–5)","Climate"
"I can make my classroom inclusive of students from different backgrounds.","Creating a classroom environment where students from different cultures, identities, abilities, languages, experiences, and backgrounds feel respected, included, and able to participate fully.","3 — [object Object]","","3 · Positively coded (1–5)","Climate"
"I can make my classroom inclusive of students from different backgrounds.","Creating a classroom environment where students from different cultures, identities, abilities, languages, experiences, and backgrounds feel respected, included, and able to participate fully.","4 — [object Object]","","4 · Positively coded (1–5)","Climate"
"I can make my classroom inclusive of students from different backgrounds.","Creating a classroom environment where students from different cultures, identities, abilities, languages, experiences, and backgrounds feel respected, included, and able to participate fully.","5","","5 · Positively coded (1–5)","Climate"
"I know the interests and motivations of most of my students.","Understanding what students enjoy, care about, feel curious about, or are motivated by, both inside and outside the classroom.","1 — [object Object]","","1","Climate"
"I know the interests and motivations of most of my students.","Understanding what students enjoy, care about, feel curious about, or are motivated by, both inside and outside the classroom.","2 — [object Object]","","2","Climate"
"I know the interests and motivations of most of my students.","Understanding what students enjoy, care about, feel curious about, or are motivated by, both inside and outside the classroom.","3 — [object Object]","","3","Climate"
"I know the interests and motivations of most of my students.","Understanding what students enjoy, care about, feel curious about, or are motivated by, both inside and outside the classroom.","4 — [object Object]","","4","Climate"
"I know the interests and motivations of most of my students.","Understanding what students enjoy, care about, feel curious about, or are motivated by, both inside and outside the classroom.","5","","5","Climate"
"My school leadership supports teaching SEL.","Feeling that school leaders encourage, value, and provide support for social-emotional learning through expectations, resources, training, time, or school-wide practices.","1 — [object Object]","","1 · Positively coded (1–5)","Climate"
"My school leadership supports teaching SEL.","Feeling that school leaders encourage, value, and provide support for social-emotional learning through expectations, resources, training, time, or school-wide practices.","2 — [object Object]","","2 · Positively coded (1–5)","Climate"
"My school leadership supports teaching SEL.","Feeling that school leaders encourage, value, and provide support for social-emotional learning through expectations, resources, training, time, or school-wide practices.","3 — [object Object]","","3 · Positively coded (1–5)","Climate"
"My school leadership supports teaching SEL.","Feeling that school leaders encourage, value, and provide support for social-emotional learning through expectations, resources, training, time, or school-wide practices.","4 — [object Object]","","4 · Positively coded (1–5)","Climate"
"My school leadership supports teaching SEL.","Feeling that school leaders encourage, value, and provide support for social-emotional learning through expectations, resources, training, time, or school-wide practices.","5","","5 · Positively coded (1–5)","Climate"
